wiki_content,wiki_title
"Thomas Dorsey stretched the boundaries in his day to create great gospel music, choirs, and quartets. Talented vocalists have been singing these songs far beyond Dorsey's expectations. The method, dynamics and power behind the songs are different, but God's message is delivered each and every time.
",Traditional black gospel
"Dorsey, who had once composed for and played piano behind blues giants Tampa Red, Ma Rainey and Bessie Smith, worked hard to develop this new music, organizing an annual convention for gospel artists, touring with Martin to sell sheet music and gradually overcoming the resistance of more conservative churches to what many of them considered sinful, worldly music. Combining the sixteen bar structure and blues modes and rhythms with religious lyrics, Dorsey's compositions opened up possibilities for innovative singers such as Sister Rosetta Tharpe to apply their very individual talents to his songs, while inspiring church members to ""shout"" — either to call out catch phrases or to add musical lines of their own in response to the singers.
",Traditional black gospel
"This looser style affected other black religious musical styles as well. The most popular groups in the 1930s were male quartets or small groups such as The Golden Gate Quartet, who sang, usually unaccompanied, in jubilee style, mixing careful harmonies, melodious singing, playful syncopation and sophisticated arrangements to produce a fresh, experimental style far removed from the more somber hymn-singing. These groups also absorbed popular sounds from pop groups such as The Mills Brothers and produced songs that mixed conventional religious themes, humor and social and political commentary. They began to show more and more influence from gospel as they incorporated the new music into their repertoire.
",Traditional black gospel
"In the 1930s gospel music of the civil rights movement was referred to as the black gospel period because this was the most prosperous era for gospel music. The message of many of the civil rights activists was supported by the message gospel music was putting forth.
",Traditional black gospel
"The new gospel music composed by Dorsey and others proved very important among quartets, who began turning in a new direction. Groups such as the Dixie Hummingbirds, Pilgrim Travelers, Soul Stirrers, Swan Silvertones, Sensational Nightingales and Five Blind Boys of Mississippi introduced even more stylistic freedom to the close harmonies of jubilee style, adding ad libs and using repeated short phrases in the background to maintain a rhythmic base for the innovations of the lead singers. Melodically, gospel songs from this era were more diatonic and conjunct. As ""the spirit leads the vocalist"" the melodies would become more chromatic and disjunct, evoking pure spiritual emotion that was congruent with the accompanying body or musicians.[3]",Traditional black gospel
"Individual singers also stood out more as jubilee turned to ""hard gospel"" and as soloists began to shout more and more, often in falsettos anchored by a prominent bass. Quartet singers combined both individual virtuoso performances and innovative harmonic and rhythmic invention — what Ira Tucker Sr. and Paul Owens of the Hummingbirds called ""trickeration"" — that amplified both the emotional and musical intensity of their songs.
",Traditional black gospel
"By the 1940s, gospel music had expanded to members of all denominations prompting black gospel artists to begin tours and becoming full-time musicians. In this venture Sister Rosetta Tharpe became a pioneer, initially selling millions of records with her ability to drive audiences into hysteria by sliding and bending her pitch as well as accompanying herself on steel guitar.[4] In contrast, Mahalia Jackson used her dusky contralto voice to develop her gospel ballads as well as favouring a more joyful approach to singing the gospel. W. Herbert Brewster wrote ""Move on Up a Little Higher"" Jackson's first hit.
",Traditional black gospel
"At the same time that quartet groups were reaching their zenith in the 1940s and 1950s, a number of women singers were achieving stardom. Some, such as Mahalia Jackson and Bessie Griffin, were primarily soloists, while others, such as Clara Ward, Albertina Walker, The Caravans, The Davis Sisters and Dorothy Love Coates, sang in small groups. While some groups, such as The Ward Singers, employed the sort of theatrics and daring group dynamics that male quartet groups used, for the most part women gospel singers relied instead on overpowering technique and dramatic personal witness to establish themselves.
",Traditional black gospel
"Roberta Martin in Chicago stood apart from other women gospel singers in many respects. She led groups that featured both men and women singers, employed an understated style that did not stress individual virtuosity, and sponsored a number of individual artists, such as James Cleveland, who went on to change the face of gospel in the decades that followed.
",Traditional black gospel
"Gospel started to break way from the traditional church setting, with the choirs, and just singing hymns. There were more solo artists that emerged during these decades. Gospel artists began to perform more than minister; they started to add more genres to gospel music. Disco Music, funk, jazz and many mainstream genres became a part of gospel music.
",Traditional black gospel
"Rock 'n' roll, country, and rhythm & blues have also been influenced by gospel music. Many blues and R&B singers began as church musicians and later followed the secular careers. When roots music (which including spirituals) became popular in the 1960s and 1970s, a combination of the powerful rhythm and timbres found in spirituals and ""hard gospel"" combined with the instrumentation and lyrical content of R&B and country contributed to various forms of rock music.0
",Traditional black gospel
"Gospel artists, who had been influenced by pop music trends for years, had a major influence on early rhythm and blues artists, particularly the ""bird groups"" such as the Orioles, the Ravens and the Flamingos, who applied gospel quartets' a cappella techniques to pop songs in the late 1940s and throughout the 1950s. These groups based their music on sounds they had been singing in church and were now releasing gospel-styled reworking of songs for a secular audience.[5] The influence of gospel was apparent in new versions of pop standards or new songs in a pop style.[6]Elvis Presley, Jerry Lee Lewis and Little Richard were rock 'n' roll pioneers with a religious background. Like other artists, these pioneers were stylistically influenced by gospel and it contributed to their music. Elvis was successful in performing his gospel favorites, ""Why me Lord,"" How Great Thou Art, and ""You'll never walk alone."" For all of his success as a rock 'n' roll singer, he only received awards for his gospel recordings.[7]",Traditional black gospel
"Individual gospel artists, such as Sam Cooke, a former member of the Soul Stirrers, and secular artists who borrowed heavily from gospel, such as Ray Charles, James Brown, James Booker and Jackie Wilson, had an even greater impact later in the 1950s, helping to create soul music by bringing even more gospel inspired harmonies and traditions from rhythm and blues.[8][9]
Many of the most prominent soul artists, such as Aretha Franklin, Marvin Gaye, Wilson Pickett and Al Green, had roots in the church and gospel music and brought with them much of the vocal styles of artists such as Clara Ward and Julius Cheeks. The underlying virtues of soul/R&B music taken from gospel, is the direct emotional delivery, truth to a spirit and the feeling within a song transmitted to the listener.[10]   During the 1970s, artists like Edwin Hawkins with the 1969 hit ""Oh Happy Day"", and Andraé Crouch's hit ""Take me Back"" were big inspirations on gospel music and crossover successes. Both Hawkins and Crouch incorporated secular music styles into gospel, shaping modern contemporary christian music today.[11]",Traditional black gospel
"Secular songwriters often appropriated gospel songs, such as the Pilgrim Travelers' song ""I've Got A New Home,"" or the Doc Pomus song Ray Charles turned into a hit ""Lonely Avenue,"" or ""Stand By Me,"" which Ben E. King and Leiber and Stoller adapted from a well-known gospel song, or Marvin Gaye's ""Can I Get a Witness,"" which reworks traditional gospel catchphrases. In other cases secular musicians did the opposite, attaching phrases and titles from the gospel tradition to secular songs to create soul hits such as ""Come See About Me"" for The Supremes and ""99½ Won't Do"" for Wilson Pickett.
",Traditional black gospel
"See also:
",Traditional black gospel
"General:
",Traditional black gospel
"South Australia Asset Management Corpn v York Montague Ltd and Banque Bruxelles Lambert SA v Eagle Star Insurance Co Ltd [1996] UKHL 10 is a joined English contract law case (often referred to as 'SAAMCO') on causation and remoteness of damage. It arose out of the property crash in the early 1990s, whereby banks were suing valuers for overpricing houses in order to recover the lost market value. Owners themselves often had little or no money, since they had fallen victim to negative equity, so mortgage lenders would pursue a valuer instead to recover some losses.
",South Australia Asset Management Corp v York Montague Ltd
"In the South Australia case, a valuer had (in breach of an implied term to exercise reasonable care and skill) negligently advised his client bank that property which it proposed to take as security for a loan was worth much more than its actual market value. The question was whether he should be liable not only for losses attributable to the deficient security but also for further losses attributable to a fall in the property market. The House decided that he should not be liable for this kind of loss.
",South Australia Asset Management Corp v York Montague Ltd
The House of Lords held that the valuer was not liable for the losses resulting from market fluctuations. Lord Hoffmann gave his judgment as follows.[1],South Australia Asset Management Corp v York Montague Ltd
"15. How is the scope of the duty determined? In the case of a statutory duty, the question is answered by deducing the purpose of the duty from the language and context of the statute: Gorris v Scott (1874) L.R. 9 Ex. 125. In the case of tort, it will similarly depend upon the purpose of the rule imposing the duty. Most of the judgments in the Caparo case are occupied in examining the Companies Act 1985 to ascertain the purpose of the auditor""s duty to take care that the statutory accounts comply with the Act. In the case of an implied contractual duty, the nature and extent of the liability is defined by the term which the law implies. As in the case of any implied term, the process is one of construction of the agreement as a whole in its commercial setting. The contractual duty to provide a valuation and the known purpose of that valuation compel the conclusion that the contract includes a duty of care. The scope of the duty, in the sense of the consequences for which the valuer is responsible, is that which the law regards as best giving effect to the express obligations assumed by the valuer: neither cutting them down so that the lender obtains less than he was reasonably entitled to expect, nor extending them so as to impose on the valuer a liability greater than he could reasonably have thought he was undertaking.
",South Australia Asset Management Corp v York Montague Ltd
"16. What therefore should be the extent of the valuer""s liability? The Court of Appeal said that he should be liable for the loss which would not have occurred if he had given the correct advice. The lender having, in reliance on the valuation, embarked upon a transaction which he would not otherwise have undertaken, the valuer should bear all the risks of that transaction, subject only to the limitation that the damage should have been within the reasonable contemplation of the parties.
",South Australia Asset Management Corp v York Montague Ltd
"17. There is no reason in principle why the law should not penalise wrongful conduct by shifting on to the wrongdoer the whole risk of consequences which would not have happened but for the wrongful act. Hart and Honoré, in Causation in the Law, 2nd ed. (1985), p. 120, say that it would, for example, be perfectly intelligible to have a rule by which an unlicensed driver was responsible for all the consequences of his having driven, even if they were unconnected with his not having a licence. One might adopt such a rule in the interests of deterring unlicensed driving. But that is not the normal rule. One may compare, for example, The Empire Jamaica [1955] P. 259, in which a collision was caused by a ""blunder in seamanship of . . . a somewhat serious and startling character"" (Sir Raymond Evershed M.R., at p. 264) by an uncertificated second mate. Although the owners knew that the mate was not certificated and it was certainly the case that the collision would not have happened if he had not been employed, it was held in limitation proceedings that the damage took place without the employers"" ""actual fault or privity"" (section 503 of the Merchant Shipping Act 1894) because the mate was in fact experienced and (subject to this one aberration) competent. The collision was not therefore attributable to his not having a certificate. The owners were not treated as responsible for all the consequences of having employed an uncertificated mate but only for the consequences of his having been uncertificated.
",South Australia Asset Management Corp v York Montague Ltd
"18. Rules which make the wrongdoer liable for all the consequences of his wrongful conduct are exceptional and need to be justified by some special policy. Normally the law limits liability to those consequences which are attributable to that which made the act wrongful. In the case of liability in negligence for providing inaccurate information, this would mean liability for the consequences of the information being inaccurate.
",South Australia Asset Management Corp v York Montague Ltd
"19. I can illustrate the difference between the ordinary principle and that adopted by the Court of Appeal by an example. A mountaineer about to undertake a difficult climb is concerned about the fitness of his knee. He goes to a doctor who negligently makes a superficial examination and pronounces the knee fit. The climber goes on the expedition, which he would not have undertaken if the doctor had told him the true state of his knee. He suffers an injury which is an entirely foreseeable consequence of mountaineering but has nothing to do with his knee.
",South Australia Asset Management Corp v York Montague Ltd
"20. On the Court of Appeal""s principle, the doctor is responsible for the injury suffered by the mountaineer because it is damage which would not have occurred if he had been given correct information about his knee. He would not have gone on the expedition and would have suffered no injury. On what I have suggested is the more usual principle, the doctor is not liable. The injury has not been caused by the doctor""s bad advice because it would have occurred even if the advice had been correct.
",South Australia Asset Management Corp v York Montague Ltd
"21. The Court of Appeal [1995] Q.B. 375 summarily rejected the application of the latter principle to the present case, saying, at p. 404:
",South Australia Asset Management Corp v York Montague Ltd
"""The complaint made and upheld against the valuers in these cases is. . . not that they were wrong. A professional opinion may be wrong without being negligent. The complaint in each case is that the valuer expressed an opinion that the land was worth more than any careful and competent valuer would have advised.""",South Australia Asset Management Corp v York Montague Ltd
"I find this reasoning unsatisfactory. It seems to be saying that the valuer""s liability should be restricted to the consequences of the valuation being wrong if he had warranted that it was correct but not if he had only promised to use reasonable care to see that it was correct. There are of course differences between the measure of damages for breach of warranty and for injury caused by negligence, to which I shall return. In the case of liability for providing inaccurate information, however, it would seem paradoxical that the liability of a person who warranted the accuracy of the information should be less than that of a person who gave no such warranty but failed to take reasonable care.
",South Australia Asset Management Corp v York Montague Ltd
"22. Your Lordships might, I would suggest, think that there was something wrong with a principle which, in the example which I have given, produced the result that the doctor was liable. What is the reason for this feeling? I think that the Court of Appeal""s principle offends common sense because it makes the doctor responsible for consequences which, though in general terms foreseeable, do not appear to have a sufficient causal connection with the subject matter of the duty. The doctor was asked for information on only one of the considerations which might affect the safety of the mountaineer on the expedition. There seems no reason of policy which requires that the negligence of the doctor should require the transfer to him of all the foreseeable risks of the expedition.
",South Australia Asset Management Corp v York Montague Ltd
"23. I think that one can to some extent generalise the principle upon which this response depends. It is that a person under a duty to take reasonable care to provide information on which someone else will decide upon a course of action is, if negligent, not generally regarded as responsible for all the consequences of that course of action. He is responsible only for the consequences of the information being wrong. A duty of care which imposes upon the informant responsibility for losses which would have occurred even if the information which he gave had been correct is not in my view fair and reasonable as between the parties. It is therefore inappropriate either as an implied term of a contract or as a tortious duty arising from the relationship between them.
",South Australia Asset Management Corp v York Montague Ltd
"
24. The principle thus stated distinguishes between a duty to provide information for the purpose of enabling someone else to decide upon a course of action and a duty to advise someone as to what course of action he should take. If the duty is to advise whether or not a course of action should be taken, the adviser must take reasonable care to consider all the potential consequences of that course of action. If he is negligent, he will therefore be responsible for all the foreseeable loss which is a consequence of that course of action having been taken. If his duty is only to supply information, he must take reasonable care to ensure that the information is correct and, if he is negligent, will be responsible for all the foreseeable consequences of the information being wrong.",South Australia Asset Management Corp v York Montague Ltd
"The effect of the SAAMCO case was to exclude from liability the damages attributable to a fall in the property market notwithstanding that those losses were foreseeable in the sense of being “not unlikely” (property values go down as well as up) and had been caused by the negligent valuation in the sense that, but for the valuation, the bank would not have lent at all and there was no evidence to show that it would have lost its money in some other way. It was excluded on the ground that it was outside the scope of the liability which the parties would reasonably have considered that the valuer was undertaking.
",South Australia Asset Management Corp v York Montague Ltd
"Subsequent case law has drawn a distinction between cases merely providing information, and those providing advice. The principle in SAAMCO cannot be invoked in cases where investment advisers specifically direct an investor to make a specific investment (see Rubenstein v HSBC Bank plc[2] and Aneco Reinsurance Underwriting Ltd (in liquidation) v Johnson & Higgins Ltd[3]), though it may be rather difficult to carefully demarcate where information ends and directed investment advice begins.[4]",South Australia Asset Management Corp v York Montague Ltd
,South Australia Asset Management Corp v York Montague Ltd
"Crad Kilodney (June 1, 1948 – April 14, 2014) was the pen name of Lou Trifon,[1] an American-born Canadian writer who lived in Toronto, Ontario.  He was best known for selling his self-published books (often with outrageous titles such as Bloodsucking Monkeys from North Tonawanda, Suburban Chicken-strangling Stories and Putrid Scum) on the streets of the city between about 1978 and 1995.[1]",Crad Kilodney
"Louis Trifon (as he was then known) was born in Jamaica, New York in 1948 to a Greek family. He graduated from Syosset High School in 1965, then obtained a degree in astronomy from the University of Michigan. Instead of continuing in that field, he took a job at Exposition Press, a self-publishing vanity press based in Hicksville, New York.[1] Many of his experiences in that job, and with vanity publishing in general, shaped his outlook on fiction and provided him with material for many stories.[1]  The stories ""Three Dead Men"" and ""A Moment of Silence for Man Ray"" (both in Girl on the Subway) are examples of this.
",Crad Kilodney
"He sold a few humor-oriented articles to the Houston Post in 1969, and taking on the name ""Crad Kilodney"", published very occasional pieces in The National Lampoon between 1970 and 1972.  According to information on his unofficial website, Kilodney wrote the first unsolicited short story ever accepted by National Lampoon, a science fiction parody entitled ""The Day Saturn Crashed into the Earth"".  It appeared in their fifth issue.
",Crad Kilodney
"Disgusted by Watergate and U.S. culture generally, Trifon moved to Toronto in 1973 where he worked at a number of other book publishers, mostly in their stockrooms.  While doing so, he continued to make very occasional sales of short stories and humor pieces to small magazines, but decided that it might be best to reach people by self-publishing his stories (under his own Charnel House imprint) and selling them face-to-face on the street.[1]  This he did from 1978 through 1995, publishing 32 books in this manner, using the name Crad Kilodney. Kilodney could generally be found, and indeed was a fixture, on Yonge Street, at the University Of Toronto downtown campus and in front of the Toronto Stock Exchange building with a cardboard sign hanging from his neck, holding a book he was selling.[1][2][3]. His attention-getting signage, always handwritten, might give a book title (e.g., Simple Stories For Idiots), or a mocking self-description of his wares (e.g., ""Slimy Degenerate Literature"").  The books themselves were usually pamphlet-sized collections of short stories, ranging from 32 to 80 pages in length.  Though the vast majority of the work was Kilodney's own, he also edited and offered for sale several anthologies under the banner of Worst Canadian Stories and The Charnel House Anthology of Bad Poetry.
",Crad Kilodney
"Kilodney commented that while most writers are inspired by conventionally great literature, he drew inspiration from the exact opposite: the slush pile, the crank letter, and of course the vanity press.  He was, however, not interested in being seen as a crank or an eccentric, but simply wanted to find respectable, legitimate work as a writer and be taken seriously for doing so.  Nevertheless, he also enjoyed pranks, and in 1988, Kilodney submitted a number of stories by famous writers to the CBC Radio literary competition, many under absurd names. All of the stories were screened out by the jury.[1]",Crad Kilodney
"More in line with Kilodney's literary ambitions, also in 1988 Black Moss Press issued a 'best-of' collection called Malignant Humours.  A follow-up collection (Girl On The Subway and other stories) appeared in 1990.  These were generally the only Kilodney volumes available in bookstores.
Kilodney also wrote for a variety of publications, Canadian and otherwise, such as Only Paper Today, 'What' (a literary magazine), and Rustler (for which he wrote a monthly column at one point).  
",Crad Kilodney
"In 1991, Kilodney was charged with selling commercial goods without a licence, making him the only Canadian writer ever charged for selling his own writing.  In response, Toronto hardcore band (and long time supporters of the Independent DIY ethos) Armed & Hammered released the song ""Crad Kilodney Was Innocent"" on a 7"" single vinyl record.
",Crad Kilodney
"At various times Kilodney kept a tape recorder with him and recorded quite a bit of bizarre byplay between himself and prospective customers.  He then compiled the oddest or most entertaining exchanges into hand-made cassette tapes (""On The Street With Crad Kilodney"" Vols 1, 2, and 3) which he offered for sale alongside his books. They are extremely rare and are collector's items (much as original printings of his books are).[1]",Crad Kilodney
"Vol. 3 (a 90-minute cassette) is from 1991. ""Dub 154"" of this tape, a representative example, includes photocopied typewritten notes detailing the recording process, transfer technique and equipment used. Kilodney handwrote with ballpoint pen on the cassette jacket as well. Side A has 11 recordings, Side B 16 recordings; four of the recordings are answering machine messages, and the rest are the famous surreptitious encounters with people wondering why this man has a sign around his neck. ""Excrement"" and ""Putrid Scum"", as well as several of his stories (such as ""Henry"", featured in Girl on the Subway) are also inspired by these experiences.
",Crad Kilodney
"After receiving an inheritance, Kilodney retired from selling his self-published books in 1995.  To continue making income, he took up trading mining stocks, which allowed him to live modestly for the rest of his life.  Nevertheless, he continued writing, and looked for new ways to distribute his material.  In 1996, Kilodney's satirical piece ""Circumcision Rites of the Toronto Stock Exchange"" appeared in the 1996 Pushcart Prize anthology, and in 1998 his previously published story ""Girl On The Subway"" was included in the mainstream literary anthology Concrete Forest: The New Fiction of Urban Canada, published by McClelland & Stewart.  A fan-based website, run by Syd Allan, featured occasional new material from Kilodney up until 2004. 
",Crad Kilodney
"From April 2008 until a few months before his death, new satirical articles (and the occasional short story) were posted on Kilodney's blog.  A series of 20 articles on ""Exotic Cities"" that had been published in 2009 were translated into French and collected in the volume Villes Bigrement Exotiques (2012).  This was the last of Kilodney's books published in his lifetime.
",Crad Kilodney
"Kilodney posted his final blog entry, a short story called ""Dreaming With Jay"", in December 2013.  He thanked his readers for their support, and noted that ""This is the last piece I will publish in my lifetime.""[4]",Crad Kilodney
"Kilodney died of cancer on April 14, 2014 at the age of 66. He never married, and left no heirs.  The day after his death and at his request, his friend, artist Lorette C. Luzajic, launched the Crad Kilodney Literary Foundation, a website dedicated to preserving and promoting his works.[2]  A posthumous collection of his online writings, Strong Meat, appeared in 2015.
",Crad Kilodney
"Most of these collections contain 3 to 8 stories, and are between 34 and 80 pages in length.  Most were self published, and appeared as stapled, photocopied pamphlets, in print runs of 800-1,200 copies.  There are exceptions: Lightning Struck My Dick is over 100 pages, contains 18 stories, and was published by Virago Press. Pork College was published by Coach House Press. Strong Meat, issued posthumously, is almost 400 pages.
",Crad Kilodney
"Black Moss Press issued two anthologies, each around 100 pages, of Kilodney's 'selected stories'. Aside from Pork College, these were the only Kilodney volumes generally available for sale in bookstores.
",Crad Kilodney
"Chinese Farm is a board game simulating operational level ground combat between Egypt and Israel at the Battle of The Chinese Farm during the 1973 Arab-Israeli War. The game is an introductory level product with an emphasis on playability over simulation value.
",Chinese Farm
"Simulations Publications, Inc. (SPI) issued Chinese Farm in 1975 as one of four games included in the Modern Battles Quad and individually in a folio format as part of its Modern Battles Series.
",Chinese Farm
"The Israeli player seeks to establish a bridgehead across the Suez Canal while the Egyptian player attempts to block this. Games are usually concluded in 1-2 hours.
",Chinese Farm
"Chinese Farm contains three scenarios. Scenario one focuses on the Israeli approach to and initial crossing of the Suez Canal. Scenario two broadens the first scenario to include Israeli efforts to secure the west bank of the Suez Canal, and adds IAF air strikes and Egyptian SAM defences. Scenario three reorients the Egyptian positions to allow a better defense, and is ahistoric in this regard. Each scenario is subject to the standard rules developed for Modern Battle Folio Series games but also contains scenario-specific rules and victory conditions.
",Chinese Farm
"Play is divided into eight 12-hour turns (scenarios two and three both have 12 turns) governed by the standard move-shoot sequence, zones of control, a terrain effects chart, and two differential combat results tables (CRT). Each player at the start of a new combat phase opts for either the Active or the Mobile CRT, reflecting differing levels of aggressiveness and risk of unit elimination. Air power is abstract and naval power is not simulated. The Egyptian player fields foot and mechanized infantry battalions, armored brigades, artillery, and mobile and static surface-to-air units and the Israeli player is provided armored and mechanized infantry battalions, limited artillery, and an engineer unit to bridge the Suez Canal. Units begin the game at set locations and both sides later receive reinforcements.
",Chinese Farm
"Victory is achieved by receiving the most points based on a combination of territorial objectives, enemy units destroyed, and unit ending locations.
",Chinese Farm
"100 die-cut counters representing Egyptian and Israeli units; a 17"" by 22"" hexagon-patterned paper map, two sets of random number chits, one standard rulebook for Modern Battle Folio Series games, and one exclusive rulebook for Chinese Farm.
",Chinese Farm
"Game Design: Howard Barasch
Physical Systems Design and Graphics: Redmond A. Simonsen
Systems Design and Game Development: Howard Barasch, Edward Curran, Jay Nelson, I. B. Hardy
Research: Col. T. N. Dupuy, B. Garon
Production: Manfred F. Milkuhn, Larry Catalano, Linda Mosca, Kevin Zucker",Chinese Farm
"Hobby Japan in 1979 released a Japanese-language edition of Chinese Farm.
",Chinese Farm
"
",Hypochlorosis
"Hypochlorosis is a genus of butterflies in the family Lycaenidae. The species of this genus are found on New Guinea and in the Moluccas in the Australasian realm.
",Hypochlorosis
" Media related to Hypochlorosis at Wikimedia Commons
 Data related to Hypochlorosis at Wikispecies
",Hypochlorosis
,Hypochlorosis
"Alexander the Mason, sometimes called ""Alexander the Mason III,""  was a master mason who designed the nave and crossing of Lincoln Cathedral in the mid 13th century. Following Geoffrey de Noiers as designer, Alexander designed the star-patterned vaulting of the nave, adding tierceron ribs to decorate the vaulting, which had heretofore been relatively plain. The crossing vault, dating to 1238, was extensively elaborated, using eight spring points in the tower. Alexander designed the cathedral's screen front, chapter house and Galilee porch. The chapter house at Worcester Cathedral is also attributed to Alexander, and he may have worked in France at Le Mans Cathedral. Other churches in England attributed to Alexander are St Wulfram's Church, Grantham and  St. Mary Magdalene, Newark-on-Trent.[1][2]",Alexander the Mason
"Nexus: the Infinite City is a role-playing game designed by Jose Garcia and published by Daedalus Games. Its setting is a meta-city made up of reality chunks of various realities of the megaverse.
",Nexus: The Infinite City
"Nexus: The Infinite City takes place in a city called Nexus.  Player characters can fill many roles within the city, from violent enforcers to capitalistic thirds.  The city itself is made of chunks of other cities from many worlds and dimensions.  Some are cut off entirely from their home reality, while others have only a few connections to Nexus.  Interfaces connect the different realities of Nexus, and frequently phase in and out.  As a result, many Nexans have irregular and erratic lives.
",Nexus: The Infinite City
"The primary core of Nexus play is Angel City, a Los Angeles separated from Earth in 1993 and wholly subsumed into Nexus.  Shortly after its incorporation, the Los Angeles government collapsed.  Los Angeles was then renamed Angel City, and has since been carved up between numerous factions and powers within Nexus.
",Nexus: The Infinite City
"Each reality follows its own natural laws of physics.  Some technology works in certain realities, and magic is particular to some realities as well.
",Nexus: The Infinite City
"Nexus' system is the precursor to Feng Shui, a game later written by Robin Laws.  Character attributes are split between three categories:  Body, Mind, and Reflexes.  Skills add to a character's capability in an area.  Powers are broadly defined and allow for characters to have diverse power styles; the game includes three such systems, Nexan Sorcery, Rhyming Magic, and Psychic Powers.  A list of modifiers and sample spells allows players to create more powers and frameworks.
",Nexus: The Infinite City
"Rolling challenges in the game requires 2D6.  Like Feng Shui, one die gives a positive number and the other a negative.  The final number - a combination of the character's level in a skill or power and the 2D6 roll - is compared to a target number to determine success or failure.
",Nexus: The Infinite City
"Malagousia or Malagouzia (Greek Μαλαγουζιά) is a white Greek wine grape that was virtually extinct until Professor of Oenology Vassilis Logothetis re-discovered it in Nafpaktia and presented it to one of his students, Vangelis Gerovassiliou, in the 1970s. Experimental vinification began at the Porto Carras winery, and later continued on Vangelis Gerovassiliou's own estate.[1]. The grape is highly aromatic and has the potential to produce soft, elegant wines.[2]",Malagousia
"Malagousia is also known under the synonyms Malagouzia, Malagoyzia, Malaouzia, Malaoyzia, Melaouzia, and Melaoyzia.[3]",Malagousia
"This table shows an overview of the protected heritage sites in the Walloon town  Chaudfontaine. This list is part of Belgium's national heritage.
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0001-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0002-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0003-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0004-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0005-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0006-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0007-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0008-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0009-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0010-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0013-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0014-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0016-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0017-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0018-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0020-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0022-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0025-01 Info
",List of protected heritage sites in Chaudfontaine
"62022-CLT-0027-01 Info
",List of protected heritage sites in Chaudfontaine
"I'll Make All Your Dreams Come True is Ronnie Dove's third album for Diamond Records.  It was released in 1965 as Diamond D-5004 in mono and SD-5004 in stereo.
",I'll Make All Your Dreams Come True
"The title track peaked at #21 on the Hot 100 chart and #2 on the Easy Listening chart. The other single from the album, Kiss Away, peaked at #25 on the Hot 100 and #5 on the Easy Listening chart.
",I'll Make All Your Dreams Come True
,I'll Make All Your Dreams Come True
"Tempter is the debut album by the Dutch death metal band Nembrionic Hammerdeath. It was released in 1993 as a split CD with Consolation's debut album Beautyfilth by Displeased Records. Later, it was re-issued by itself.
",Tempter (album)
,Tempter (album)
"Bernice is an unincorporated community in Illinois Township, Pope County, Arkansas, United States. The area, located on Arkansas Highway 7 Truck, is now part of Russellville.[1]","Bernice, Arkansas"
,"Bernice, Arkansas"
"KRMS (1150 AM, ""NewsTalk KRMS, 1150AM - 97.5 FM"") is a radio station licensed to serve Osage Beach, Missouri, United States.  The station, established in December 1952, is owned by Viper Communications, Inc., and broadcasts news/talk programming to central Missouri.
",KRMS
"KRMS broadcasts a news/talk/sports format to Osage Beach and the greater Lake of the Ozarks area.[2] Weekday programming includes nationally syndicated talk shows hosted by Rush Limbaugh, Dave Ramsey, Mark Levin, and Jim Bohannon. Local weekday programs include Ozarks This Morning with KB, The Morning Magazine, and The Ozarks Today with Bill Thrill.  Overnight programming features Coast to Coast AM with George Noory. KRMS is also home to the Bob's No Wake Zone boating radio show and is the broadcast home for the Lake of the Ozark's Shootout and Lake Race powerboat races.[3]",KRMS
"This station began regular daytime-only broadcast operations in December 1952 under the ownership of broadcast license holder and station president Robert M. Smith.[1]  Broadcasting with 1,000 watts of power on an assigned frequency of 1150 kHz, the new station was assigned the call sign KRMS by the Federal Communications Commission (FCC).[4]  The station's initial staff included general manager was Ed Gardiner, chief engineer Wally Clark, news director Hal Martin, and program director M.T. Gardiner.[1]",KRMS
"In 1954, Smith transferred the broadcast license for KRMS to a new company, Central Missouri Broadcasting, of which he was president and majority owner.[5]  About a year later, in 1955, KRMS was sold to Lawrence Broadcasters, Inc.[6]  This new license holder was run by company president A.P. D'Ambra and general manager Arden Booth.[6][7]",KRMS
